name,city,income,credit_score,loan_amount,years_employed,points,loan_approved,age,education_level,marital_status
Jennifer Oliver,East Michelle,30851,481,28020,1,10.0,False,22,Bachelor,Single
Tim Patton,Phambury,129458,573,11433,6,55.0,False,56,Bachelor,Married
Andrew Ruiz,Port Samantha,135620,658,21000,14,70.0,True,43,High School,Married
Matthew Ross,Michelleview,50926,659,43040,32,50.0,False,51,High School,Married
William Herrera,North Natalieview,121506,482,39049,16,50.0,False,68,Associate,Married
Kyle Reed,Samuelhaven,85392,418,26244,36,45.0,False,33,Bachelor,Single
Andrew Graham,West Ryan,74597,638,41839,20,50.0,False,62,Associate,Married
Belinda Mccullough,Elizabethmouth,66421,712,46692,18,60.0,True,60,High School,Married
Cheryl Ortega,Byrdburgh,50379,608,27612,35,50.0,False,32,Bachelor,Married
Elizabeth Clark,Stevenmouth,58221,518,34500,30,35.0,False,55,Master,Married
Toni Fitzgerald,West Zacharymouth,130072,395,16392,19,55.0,False,53,High School,Divorced
Curtis Johnson,South Cheryl,74118,374,30846,26,35.0,False,41,High School,Single
Laura Higgins,Snyderbury,43396,451,43995,0,10.0,False,58,Master,Single
Shannon Mcclure,Robinsonhaven,42156,775,4291,35,70.0,True,53,Master,Widowed
Ryan Bryant,Contrerasside,79797,624,30004,39,60.0,True,56,Bachelor,Single
Stephanie Simmons,Merrittfort,42676,760,17986,15,60.0,True,52,Master,Single
Destiny Strickland,Simsview,77052,750,6077,18,90.0,True,55,Master,Married
George Orozco,East Edwardfurt,141082,456,47295,13,50.0,False,35,Master,Married
Jason Daniels,Brownchester,75082,698,39278,1,50.0,False,66,High School,Married
Pamela James,West Kennethfurt,109131,729,36272,34,75.0,True,64,Bachelor,Married
Stephanie Freeman,Ryantown,64671,698,23028,25,65.0,True,55,Bachelor,Single
Sara Calhoun,South Brittanytown,135791,385,43123,27,50.0,False,26,Associate,Married
Joel Williams,Murphymouth,35695,634,23118,24,40.0,False,36,Bachelor,Single
Trevor Fisher,South Andrewside,125647,353,23935,14,55.0,False,67,Bachelor,Single
Rachael Pearson,East Jamestown,90217,456,16633,8,45.0,False,24,Master,Single
Brian Gould,Lyonsstad,100284,471,40707,38,45.0,False,37,Associate,Married
Michelle Strickland,West Daniel,46361,326,21444,36,25.0,False,56,High School,Divorced
Tina Sanders,North Brittany,79615,548,7678,19,55.0,False,58,Bachelor,Single
Lindsay Martinez,West Amandastad,40328,370,34158,21,25.0,False,52,Master,Single
Jason Henry,Yumouth,102357,456,29540,11,50.0,False,28,Bachelor,Married
Tracie Nelson,Marshallshire,68427,574,22122,15,40.0,False,48,Bachelor,Married
Angelica Keith,Port Steven,138711,688,23046,1,65.0,True,65,Bachelor,Married
Frederick Freeman MD,Matthewview,112397,310,34857,12,50.0,False,25,Bachelor,Married
Nathan Freeman,Lake Thomas,111070,802,30371,1,75.0,True,28,High School,Single
Daniel Holt,Elizabethstad,146057,784,37272,33,85.0,True,50,High School,Single
Zachary Pierce,Jacquelineview,142945,613,17475,14,70.0,True,51,High School,Divorced
Corey Wilson,East Javier,77400,795,19120,37,85.0,True,50,Master,Divorced
Kelly Campbell,Port Jamesbury,105674,669,12759,19,70.0,True,28,High School,Widowed
Joseph Hill,New Kellyberg,55203,802,7723,0,70.0,True,22,Doctorate,Divorced
Julie Alexander,North Johnny,122349,789,8476,4,85.0,True,37,High School,Married
Benjamin Soto,East Edwardshire,39116,611,6582,15,50.0,False,35,Master,Divorced
Phillip Obrien,Port Alexandra,36006,761,30014,19,60.0,True,32,Associate,Widowed
Wanda Torres,New Susanville,116673,512,41993,13,50.0,False,38,Master,Married
Brad Allen,East Aaronmouth,59871,781,20087,2,65.0,True,40,Bachelor,Widowed
Michael Warner,Jonesbury,131327,570,41963,37,50.0,False,57,Bachelor,Married
Taylor Coleman,Lake Edward,67930,572,10321,4,35.0,False,34,Associate,Widowed
Ricky Larson,Scottmouth,40458,611,46857,25,40.0,False,59,Bachelor,Single
Kathryn Snyder,New Billchester,142108,630,40564,16,65.0,True,42,High School,Married
Darryl Craig,Port Emilyview,60512,341,12481,30,45.0,False,54,Master,Married
Jessica Ramirez,Waltersfort,143571,393,31802,22,55.0,False,25,Doctorate,Single
Frank Garcia,West Robert,43238,807,19888,25,65.0,True,33,High School,Single
Krista Gibson,Johnnyville,79823,713,34724,0,50.0,False,37,Bachelor,Divorced
Kimberly Gutierrez,New Michael,66434,810,41986,28,75.0,True,58,High School,Married
Christina Dunn,Samuelfort,89429,424,2891,40,55.0,False,61,High School,Married
Cynthia Moore,New Rickybury,113320,416,31241,7,45.0,False,58,Bachelor,Divorced
Brittany Cantu,Williamview,139328,725,32621,30,80.0,True,35,Bachelor,Married
Juan Reyes,Port Chad,77819,724,23274,32,70.0,True,38,Associate,Married
Aaron Barber,Grimesmouth,51319,795,23618,21,70.0,True,41,Bachelor,Divorced
Kimberly Gibson,Mollybury,78520,692,16306,26,75.0,True,26,High School,Married
Patrick Thornton,Hughesberg,76566,807,3426,8,90.0,True,58,Doctorate,Single
Leslie Kane,Garciamouth,57460,315,48346,9,30.0,False,35,Bachelor,Single
Matthew Moore,Harringtonview,117841,646,41845,25,65.0,True,44,Master,Divorced
Sarah Phelps,Finleyfort,64993,336,41465,4,25.0,False,45,Associate,Married
Michael Mitchell,Lake Christopher,121988,400,42533,6,45.0,False,56,Bachelor,Married
Michael Berger,West Lauraport,119593,667,25565,27,70.0,True,63,Bachelor,Married
Joseph Knight,East Gregory,114939,691,41613,15,75.0,True,57,Associate,Married
Mr. David Little MD,Port Stevenport,39358,461,5840,28,35.0,False,30,Associate,Divorced
Victoria Evans,Vaughnmouth,109840,609,14055,24,70.0,True,69,Bachelor,Single
Ashley James,Baileyport,113227,322,44137,25,50.0,False,60,High School,Married
Keith Jennings,New Julieport,52431,535,40784,22,35.0,False,65,Bachelor,Single
Connor King,Lake Colton,100010,340,21246,28,55.0,False,53,Associate,Divorced
Jacob Anderson,Markchester,125568,479,14159,8,50.0,False,25,High School,Married
Sherri Diaz,Mariaview,62087,793,20342,21,75.0,True,39,High School,Married
Julie Jones,Port Erica,51417,706,37524,23,60.0,True,30,Bachelor,Single
James Baker,South Miguelview,90589,690,42847,23,65.0,True,69,Bachelor,Married
David Johnson,Rosebury,79735,364,42641,29,40.0,False,57,High School,Single
Elizabeth Ortiz,North Sophia,65382,611,33284,7,45.0,False,66,Master,Married
Stephen Taylor,Watsonside,113886,729,39491,9,70.0,True,45,Bachelor,Single
Mary Bass,Crosbyview,120198,333,46238,23,50.0,False,30,High School,Married
Jeremy Young,Corystad,103000,667,4968,25,75.0,True,24,Master,Single
Walter Rush,Davisborough,58785,321,4314,21,50.0,False,37,Bachelor,Married
Cameron Cunningham,Port Kathyborough,119733,521,16269,21,55.0,False,57,Master,Married
Rachel Carlson,Micheleberg,72504,433,36403,16,35.0,False,61,Bachelor,Divorced
Ashley Delacruz,North Michael,140474,543,39591,20,50.0,False,37,Master,Widowed
Derek Martinez,Foxland,130704,787,30378,23,90.0,True,33,Master,Single
Ashley Gordon,Lake Kristahaven,131711,608,31018,1,55.0,False,69,Master,Married
John Morales,South Jennifermouth,37331,375,6294,20,35.0,False,48,Master,Divorced
Ana Hill,Oscarhaven,60021,601,30734,32,50.0,False,37,Associate,Married
Annette Miles,South Shannon,137715,533,28119,21,55.0,False,28,Associate,Single
Jennifer Blair,Ronaldview,34207,683,11003,30,55.0,False,52,High School,Divorced
Ronald Davis,Lake Joanneberg,135518,361,39434,35,50.0,False,51,Associate,Divorced
Meagan Jenkins,Parrishton,71347,594,40348,19,50.0,False,36,High School,Married
Kenneth Lewis,Walkerville,82581,658,37455,23,55.0,False,47,Associate,Divorced
Donald Perez,Bruceside,65093,326,40911,17,35.0,False,39,Associate,Married
Donald Farmer,Michaelburgh,38675,446,38114,25,25.0,False,65,Doctorate,Married
Patrick Bonilla,Lake Alyssafurt,57653,729,30730,21,60.0,True,23,High School,Widowed
Eric Nguyen,North Ericton,149686,383,18832,28,55.0,False,33,Bachelor,Widowed
Karla Ramos,Jasonhaven,104341,416,23621,27,55.0,False,24,High School,Married
Michael Watkins,Brandonfurt,144867,356,1503,13,60.0,True,68,Bachelor,Married
Daniel Taylor,Keithville,124098,307,33596,27,50.0,False,54,High School,Divorced
James Padilla,Charleston,71245,746,2228,29,85.0,True,34,Associate,Married
Shannon Johnston,Mckinneychester,57869,596,8548,25,60.0,True,22,Bachelor,Divorced
Frederick Solis,Collierstad,115909,390,29620,6,45.0,False,65,Bachelor,Married
Kevin Warren,Harrellmouth,95435,526,22827,10,50.0,False,64,High School,Married
Mark Schmidt,Port Michael,81856,451,16484,6,45.0,False,64,Master,Married
Craig Morrison,East Stephaniefort,145957,775,37944,37,85.0,True,64,Master,Married
Thomas Cunningham,Michellemouth,149871,454,29820,4,45.0,False,41,Bachelor,Married
Mark Hogan,West Williamport,114259,772,30616,2,75.0,True,42,Bachelor,Single
Ronald Jones,New Brookefurt,90142,773,39032,35,75.0,True,30,High School,Married
Nancy Williams,West Cassidy,48726,813,10886,3,65.0,True,46,Bachelor,Divorced
Robert Monroe,New Debbieton,64718,553,47374,28,35.0,False,61,Bachelor,Married
Kelly Bishop MD,Paulmouth,48301,353,42345,21,25.0,False,22,Associate,Single
Brandon Gregory,Johnathanberg,62325,641,6341,37,60.0,True,59,Bachelor,Married
Sydney Collins,Andersonland,127647,617,37629,24,65.0,True,50,Bachelor,Single
Erin Anderson,Lake Ellenhaven,103579,670,2194,23,85.0,True,52,Bachelor,Widowed
Trevor Peterson,Leeberg,100644,458,6057,18,60.0,True,69,High School,Single
Ashley Wise,Lake Matthewberg,64438,685,11109,10,70.0,True,54,Bachelor,Married
Michael Weber,Lake Samuel,127912,720,24874,15,80.0,True,27,Master,Married
Lisa Goodwin,Youngbury,106622,616,31737,12,65.0,True,65,Associate,Divorced
Travis Joyce,Hammondfurt,86155,814,35567,26,80.0,True,31,High School,Single
Ruth Solis,Port John,147679,792,25327,35,90.0,True,52,Bachelor,Married
Michelle Black,West Christopherburgh,106484,579,30446,32,50.0,False,51,Bachelor,Married
Jeffrey Potts,Port Shannon,82350,657,2747,26,70.0,True,34,Bachelor,Married
Jonathan Young,West Jeffreymouth,77447,401,47838,21,40.0,False,47,High School,Married
Brenda Mitchell,Hortonberg,58746,780,30399,39,70.0,True,22,Master,Divorced
Bobby Scott,New Shelby,48131,840,28738,7,60.0,True,28,Bachelor,Single
Cynthia Martinez,South Danielle,96784,768,5116,7,85.0,True,66,Bachelor,Single
Kathryn Herrera,Lake Douglas,94686,739,1102,39,80.0,True,37,Master,Single
Kenneth Lopez,New Theresaland,41915,838,36656,32,65.0,True,30,Master,Married
Katie Smith,Williamsfurt,129061,682,17623,1,65.0,True,57,Bachelor,Widowed
Austin Allen,Port Bonniemouth,36175,436,3905,22,35.0,False,50,Bachelor,Married
Robin Thompson,Pollardfort,142866,486,9837,4,50.0,False,54,Bachelor,Divorced
Terri Johnson,North Kylie,44371,342,21682,19,25.0,False,50,Master,Married
Virginia Daniels,Benjaminborough,50033,592,24394,3,40.0,False,52,Bachelor,Married
Evelyn Martinez,Samuelfurt,112240,750,26339,21,90.0,True,62,Associate,Married
Kathleen Jimenez,Lauriechester,50969,380,29220,38,35.0,False,53,Bachelor,Single
Catherine Carter MD,Donnaport,133819,756,40493,27,85.0,True,26,Bachelor,Single
Jeremy West,Christinachester,119192,581,42908,3,55.0,False,43,Associate,Married
Mark Cox,North Douglas,85333,748,3280,8,85.0,True,30,High School,Married
Richard Diaz,Herrington,108172,457,45503,28,45.0,False,31,Bachelor,Single
Jacqueline Hines,New Michael,38326,621,43569,17,40.0,False,48,Associate,Married
Brian Fitzgerald,Holmesside,80432,420,18155,16,50.0,False,25,High School,Married
Cindy Carr,Gonzalezberg,80019,375,30625,11,45.0,False,59,Master,Single
Jill Miller,Elizabethland,108104,597,20657,10,70.0,True,70,Bachelor,Married
Tammy Little,Williamville,91348,505,10101,15,50.0,False,44,Associate,Married
Allison Spencer,Tannerside,99352,432,41104,5,35.0,False,48,Bachelor,Married
James Love,Foxchester,62953,375,9213,20,45.0,False,60,Master,Married
Joanna Frazier,Davidside,102512,486,9456,27,60.0,True,39,Bachelor,Single
Sheena Guerra,West Fred,142824,630,47486,14,65.0,True,43,Bachelor,Married
Todd Jacobson,West Jamesside,31504,581,9203,40,45.0,False,68,High School,Married
Joseph Shaw,New Shelly,119166,457,12219,39,55.0,False,30,Doctorate,Married
Lisa Kirby,Port Michelleland,124466,346,43038,36,50.0,False,47,Bachelor,Married
Daniel Armstrong,South Pamelaside,45014,596,43068,19,40.0,False,27,Bachelor,Single
Dr. Michael Evans,Lake Brianmouth,119353,725,32735,29,75.0,True,51,High School,Single
Lawrence Edwards,Jessicastad,145970,708,9569,23,85.0,True,42,High School,Married
Ashley Allen,West Shannonberg,100381,399,4316,18,60.0,True,70,Master,Single
Sharon Barnes,Port Mark,128419,620,13440,10,70.0,True,48,Associate,Single
Mr. Jonathan Parker Jr.,Wagnerbury,64973,520,39230,22,35.0,False,23,Bachelor,Single
Douglas Harper,Mitchelltown,130741,410,29241,8,50.0,False,44,High School,Single
Monica Gallagher,Brandonton,114012,499,24758,35,55.0,False,63,High School,Single
James Cole,Marciaville,74587,431,7336,25,50.0,False,37,High School,Single
William Grant,Kariborough,44621,821,27305,32,65.0,True,31,High School,Married
Andrew Reeves,Stoneberg,68469,827,10160,20,85.0,True,29,Bachelor,Single
Emily Long,Brittneyhaven,86985,821,35887,31,80.0,True,66,Associate,Married
Elizabeth Cabrera,Markville,50730,726,39253,19,60.0,True,60,Bachelor,Married
Molly Watts,New Thomasshire,89470,533,48277,3,30.0,False,29,Bachelor,Single
Carolyn Fuller,Hernandezbury,30425,332,38523,7,20.0,False,41,High School,Single
Jeremy Barnes,Vaughnchester,124646,813,41073,30,90.0,True,41,Bachelor,Divorced
Nancy Brown,New Jared,144799,632,44399,30,65.0,True,46,Associate,Married
Emily Thompson,Amyview,124329,795,13600,15,90.0,True,26,Bachelor,Divorced
Edwin David,Kellieborough,64522,800,21777,30,80.0,True,37,High School,Married
Timothy Pope,Keithshire,95612,688,26856,22,70.0,True,65,Bachelor,Single
Regina Roberts,Stephanieland,129871,654,29991,16,70.0,True,58,Bachelor,Married
Cindy Clayton,Sarahview,53416,440,8158,39,45.0,False,49,Bachelor,Single
Cynthia Williams,Lake Jesse,96542,402,28086,21,45.0,False,63,Associate,Divorced
Ashlee Townsend,New Tiffanyburgh,149619,716,43787,30,75.0,True,53,High School,Widowed
Curtis Maynard,Justinton,43947,391,43749,36,25.0,False,62,Master,Married
Parker Jefferson,East Robertburgh,144100,337,27017,31,55.0,False,31,Bachelor,Married
Paul Brennan,Nancytown,111959,605,38221,38,65.0,True,63,Associate,Divorced
William Mitchell,Smallberg,69117,816,31672,17,75.0,True,56,Bachelor,Married
Brian Martin,Wongburgh,140319,314,49274,21,50.0,False,68,Bachelor,Married
Laura Todd,New Melissa,113748,715,29029,32,75.0,True,37,Master,Single
James Davis,South Marcus,96540,554,1447,16,55.0,False,50,High School,Married
Jeremy Adams,Kevinshire,109818,311,18141,23,55.0,False,61,Bachelor,Married
Amy Wilson,Erikhaven,56071,618,46238,7,45.0,False,53,Master,Single
Teresa Richardson,East Susan,50032,789,11039,29,80.0,True,35,Associate,Single
Lisa Perry,Toddborough,79009,553,45586,38,40.0,False,39,Master,Married
Angela Griffin,Christianshire,129943,414,5047,35,60.0,True,39,Bachelor,Married
Christina Herrera,West Melissa,51174,752,8617,13,80.0,True,34,High School,Married
Katherine Nolan,Stokesmouth,100697,435,34636,26,50.0,False,53,Bachelor,Single
Anthony Ford,Jenniferfurt,132056,560,1197,13,60.0,True,52,Bachelor,Married
Amber Cooper,New Virginialand,99514,783,3079,18,90.0,True,23,High School,Single
Randy Cannon,Brooksfurt,30074,759,25739,24,60.0,True,66,High School,Married
Victor Baxter,Lake Michelle,108504,421,12696,34,55.0,False,45,Bachelor,Married
Cameron Irwin,Port Andrewport,72487,774,45138,34,70.0,True,49,Doctorate,Married
James Hall,Reedview,94042,493,48515,7,35.0,False,44,Bachelor,Single
Matthew Mendez,East Jamieville,32552,334,30257,38,25.0,False,38,High School,Married
Shelby Sanchez,South Scottside,44662,522,4699,8,30.0,False,42,High School,Married
Donna Cabrera,Barbaramouth,77576,542,20776,9,40.0,False,70,Bachelor,Single
Ms. Jennifer Hill,Lake Erika,145175,807,4072,22,100.0,True,69,Bachelor,Married
Megan Floyd,Heatherchester,139008,452,20653,24,55.0,False,70,Bachelor,Single
Joshua Allen,West Meredith,135745,447,31344,3,45.0,False,28,Master,Single
Tracy Grant,South John,70306,508,22644,5,35.0,False,45,High School,Single
Sarah Davis,North Joseph,61385,340,5769,12,50.0,False,56,High School,Single
Laurie Powers,South Jason,37592,640,20869,0,25.0,False,25,Bachelor,Married
Colton Figueroa,Rochaborough,61571,706,16684,35,65.0,True,30,Bachelor,Married
Douglas Owens,Kylestad,145082,825,33589,29,95.0,True,28,Master,Married
William Harrison,Robinstad,104364,620,28127,2,55.0,False,52,Bachelor,Married
Connie Thomas,Angelashire,40322,727,20345,9,45.0,False,25,Associate,Divorced
David Hudson,South Andrea,41226,645,17864,31,40.0,False,29,Master,Married
Maria Henry,Lake Laura,125932,473,10172,34,60.0,True,26,Bachelor,Married
Thomas Weaver DDS,New Arthurland,93699,349,1418,26,55.0,False,31,High School,Married
Mark Jones,North Jeffery,136957,766,25458,3,80.0,True,41,High School,Single
Mary Jensen,Hopkinstown,39071,306,35879,35,25.0,False,57,Bachelor,Married
Alan Bowen,Andrechester,129693,483,8013,6,55.0,False,61,High School,Married
Daisy Harvey,Lisaview,99822,706,6178,23,80.0,True,50,Master,Single
Judy Sanchez,West Gabriella,130379,382,43843,2,40.0,False,59,Doctorate,Married
James Tran,Lake Albertburgh,46483,384,33758,27,25.0,False,61,High School,Widowed
Erin Madden,New Samanthabury,46828,516,46369,36,25.0,False,28,Master,Single
Anthony Jones,Rachelshire,116474,333,12754,20,55.0,False,35,Associate,Single
Daniel Thomas,Hickmanport,92296,466,37959,15,40.0,False,37,High School,Single
Sarah Rhodes,Patrickberg,102063,380,33819,22,50.0,False,22,Bachelor,Married
Jeffrey Roberson,Cassiefurt,51643,634,2941,40,65.0,True,52,Associate,Single
Willie Henry,Angelafurt,64741,742,13172,37,80.0,True,67,Associate,Divorced
Angelica Montgomery,Lake Charles,99163,574,11107,24,50.0,False,26,Bachelor,Divorced
Madison Singh,Michaelland,144351,305,21202,28,55.0,False,62,Bachelor,Divorced
Derrick Anderson,South Shane,109507,824,27741,6,85.0,True,34,Bachelor,Married
Hector Davis,Michelletown,85461,598,28119,24,60.0,True,63,High School,Single
Misty Hansen,New Adriana,57760,689,12108,8,65.0,True,31,High School,Single
Derrick Thomas,South Joshua,100686,606,32734,4,55.0,False,41,Bachelor,Divorced
Tony Le,Wheelerborough,128994,768,8010,8,90.0,True,40,Bachelor,Married
Travis Cook,Brockmouth,125673,750,22937,27,90.0,True,41,Bachelor,Divorced
Shannon Mccann,West Malik,120422,505,32392,20,50.0,False,54,Bachelor,Married
James Flores,Faulknerbury,56365,633,25645,17,50.0,False,60,High School,Married
Jenna Wilson,New Wendy,123447,484,45676,35,50.0,False,42,Bachelor,Single
Nicholas Hahn,South Lauren,70857,370,27813,31,40.0,False,36,Doctorate,Divorced
Eric King,Lake Rodney,82296,686,5847,28,80.0,True,58,Bachelor,Single
Karen Morales DDS,Stephensstad,118039,849,39916,40,90.0,True,70,Bachelor,Single
Ashley Wright,Gabrielton,115180,709,22731,27,80.0,True,24,Bachelor,Single
Brett Walker,South Neil,78944,774,45535,37,75.0,True,55,Bachelor,Divorced
Brittany Cuevas,Garciachester,87422,387,8606,9,50.0,False,33,Doctorate,Married
Grant Mueller,Baileyville,147914,748,48316,28,85.0,True,53,Doctorate,Married
Eric Patrick,North Melindaville,97839,468,49528,15,40.0,False,48,Associate,Married
Kristen Rivera,Mullenbury,89177,714,42271,11,65.0,True,32,Associate,Married
Matthew Foster,South Brittany,45860,698,1291,13,65.0,True,40,Bachelor,Married
Paul Stokes,New Cristianside,62493,491,24972,20,40.0,False,70,Bachelor,Married
Brian Lambert,Rosemouth,59451,697,41062,25,60.0,True,42,Associate,Single
Hannah Bruce,Port Emily,38392,604,41270,37,40.0,False,47,Master,Divorced
Cesar Wilson,Darylstad,74313,444,34477,24,35.0,False,22,Bachelor,Married
Chad Reyes,South Cynthia,32757,477,37366,10,25.0,False,48,High School,Married
Charles Edwards MD,Port Michaeltown,107110,796,9947,12,95.0,True,61,Bachelor,Married
Tracey Wagner,Ortizfort,102603,725,47539,28,70.0,True,70,High School,Single
Bradley Johnson DDS,Antoniobury,60161,850,19918,10,80.0,True,30,Master,Married
Krystal Barton,Dunnville,107128,416,18556,34,55.0,False,66,Bachelor,Single
Holly Carson,Port Jenniferside,58864,523,28862,6,30.0,False,62,Bachelor,Single
Martha Wright,South Joseland,30942,749,8693,15,65.0,True,32,Associate,Single
Oscar Norris,Martinberg,39305,511,14562,3,20.0,False,48,High School,Widowed
Kim Carlson,West Tiffany,122778,599,19961,36,70.0,True,29,Bachelor,Single
Scott Duke,East Sydneychester,112719,360,19174,8,50.0,False,31,Bachelor,Married
Brandi Thomas,Mariafurt,37716,801,10317,36,70.0,True,54,Bachelor,Married
Lori Brooks,Lake Lauraland,60007,712,34791,17,60.0,True,52,Doctorate,Single
Sherry Gibson,Murphytown,38834,395,48902,29,25.0,False,57,High School,Single
Melissa Horn,Robinsonchester,148675,516,33421,17,55.0,False,60,Bachelor,Divorced
Drew Kelley,New Melissa,34117,651,45731,3,30.0,False,26,Associate,Married
Mark Copeland,North Sarahburgh,142674,751,30918,0,75.0,True,48,Associate,Married
Jessica Forbes DVM,Erikview,73309,395,43899,23,35.0,False,39,Master,Single
Jacob Mckee,North Randy,39287,612,48578,14,40.0,False,41,Master,Married
Brandon Davis,South Christian,97391,531,35042,28,45.0,False,64,Bachelor,Single
Michael Montoya,Bensonfort,61195,372,16004,24,40.0,False,56,Bachelor,Married
Robert Garcia,Nicoleberg,66500,691,9725,9,65.0,True,70,Bachelor,Married
Justin Bishop,South Michael,117684,518,42161,9,45.0,False,42,Master,Widowed
Lisa Ramos,North Peggy,93624,443,9071,37,55.0,False,37,Bachelor,Single
Heather Jordan,East Joshua,58080,386,17263,35,40.0,False,48,High School,Married
Michelle Mitchell,Port Melanieport,100678,510,34931,38,50.0,False,67,Master,Married
Nicole Phillips,Port Rachaelbury,47342,806,26289,7,60.0,True,64,Bachelor,Married
Alexandria Ward,Davidshire,124811,730,24947,34,80.0,True,31,Bachelor,Single
Pamela Best,North Brendatown,145655,568,15138,2,45.0,False,54,Doctorate,Married
Tiffany Sanders,Courtneyhaven,104847,725,28759,25,75.0,True,28,Master,Married
Joshua Jensen,Christopherland,105525,823,14316,9,90.0,True,55,Master,Single
Jeanette Walters,West Hollybury,91953,359,17022,5,45.0,False,31,Bachelor,Married
Audrey Salazar,West Elizabethburgh,61850,422,1830,8,45.0,False,31,High School,Married
Carla Benton,Garyberg,132841,575,49033,7,45.0,False,38,Associate,Married
Alyssa Roman,Alexandriaview,91993,378,33515,29,45.0,False,63,High School,Married
Amy Villarreal,West Eric,135840,405,38611,7,45.0,False,65,Master,Married
Jordan Williams,East Brandonstad,83354,692,10835,11,75.0,True,42,Bachelor,Divorced
Shannon Tran,Walkerbury,54957,726,48204,20,60.0,True,53,Master,Single
Blake Watson,East Jeffreyhaven,42363,347,27275,4,15.0,False,26,High School,Married
Sharon Ayala,Markside,42704,767,1522,23,75.0,True,40,Doctorate,Married
Justin Torres,South Micheal,116374,805,13807,34,95.0,True,49,Doctorate,Married
Danielle Smith,Johnsonside,86498,654,42677,0,40.0,False,67,Master,Married
April Sandoval,Daltonhaven,76438,543,28513,31,45.0,False,66,Associate,Single
Valerie Thomas,Christopherbury,85519,832,28070,23,85.0,True,42,Bachelor,Single
Paul Carpenter,Lake Lori,83883,376,39790,36,40.0,False,45,Bachelor,Single
Matthew Anderson,Josemouth,91213,702,46922,20,65.0,True,48,Bachelor,Married
Dillon Jones,East Kimberly,143224,411,11184,6,55.0,False,32,High School,Married
John Russell,Tamiborough,125561,762,21205,29,90.0,True,46,Bachelor,Single
Bryan Moore,Margaretton,37100,520,22482,9,20.0,False,59,High School,Married
David Kelly,Lake Kentburgh,118259,331,27502,28,55.0,False,38,Bachelor,Married
Krista Davis,Port Lauraville,115649,312,5041,14,60.0,True,51,Master,Married
Rodney Watson,New Brendaland,114696,322,5225,12,60.0,True,32,High School,Divorced
